ra268	current	roads civil micro
qstsh15	current	roads
hst7	current	roads
hst6	current	roads
ra245	current	roads civil em
ra200	current	roads
owwsct2459831	current	micro water em
owwsct2460879	current	micro water em
mew5773	current	em
pahw1533	current	em
mew6085	current	water em
kp3cns301	current	civil building
pai18pa	current	civil em
jeeran-al-khaleej-residential-tower	current	building
ra-126	completed	roads em
ra-171	completed	roads civil
5a-haya-eo24	completed	civil micro water
se97	completed	water em
se19	completed	civil micro water em
koc36081	completed	civil em oil
josc151lsp06	completed	civil building em oil
ra152	completed	civil em
paafa77	completed	civil building em
pahwc1151	completed	civil building em
gc32	completed	roads civil oil
c502015-infrastructure-works-for-the-commercial-berth-at-duqm-port-ip3-oman	completed	roads civil building em
mer-r-419	completed	roads
ra-259	completed	roads civil em
ra-223	completed	roads civil em
zorepc0059	completed	roads civil building oil
