ra-259	medium	no	A landmark infrastructure project by UGCC, the RA-200 development showcases engineering precision and innovation connecting communities and paving the way for Kuwait’s sustainable future.
ra-223	high	no	A major infrastructure contract undertaken by United Gulf Construction Company, this project involves the comprehensive construction, completion and ongoing maintenance of the 6.5 Ring Road in Kuwait.
ra200	high	no	Urban infrastructure project by UGCC, the RA/200 Cairo Street development enhances one of Kuwait’s key traffic corridors through advanced road construction, modern utilities, and engineered upgrades - improving mobility, safety, and long-term urban connectivity.
pai18pa	high	no	A cornerstone infrastructure development by UGCC, the Shadadiya Industrial Zone project highlights advanced engineering, large-scale earthworks, and modern utility networks - supporting Kuwait’s economic growth and enabling a fully integrated industrial ecosystem.
pahw1533	high	no	A comprehensive infrastructure and electro-mechanical works package in Al-Mutlaa Residential City, Kuwait, covering the supply, installation and implementation of main road lighting systems, traffic signal networks, speed-control camera systems and variable message boards to enhance road safety, visibility and smart-traffic management across the new city.
kp3cns301	high	no	A major aviation-infrastructure package by United Gulf Construction Company involving the construction, finishing, furnishing and maintenance of Aircraft Apron, Taxiways and associated service buildings for the new passenger terminal. 
pahwc1151	high	no	The Sabah Al Ahmad Residential City development is a major strategic urban-housing project by Public Authority for Housing Welfare, designed to provide modern and well-planned residential infrastructure in Kuwait’s new satellite city south of Kuwait City.The project embodies the vision of a livable, sustainable “Garden City” with landscaped open spaces, efficient utilities and quality housing delivery.
paafa77	high	no	A major educational infrastructure project in Al-Ardiya, Kuwait - the Girls Campus of the College of Basic Education, designed to deliver modern academic facilities for women, including classrooms, laboratories, and supporting campus infrastructure to support high-quality teacher education.
c502015-infrastructure-works-for-the-commercial-berth-at-duqm-port-ip3-oman	high	no	C50/2015 – Infrastructure Works for the Commercial Berth at Duqm Port (IP3), Oman. A major civil-infrastructure contract executed by United Gulf Construction Company W.L.L. for the development of the commercial berth at Duqm Port (IP3) in Oman, involving roadworks, utilities and berth area preparation.
5a-haya-eo24	high	no	A comprehensive wastewater-infrastructure project in A’Seeb (Al Khoudh gravity sewer network) involving micro-tunneling to install a gravity sewer network designed to efficiently collect and convey sewage - part of UGCC’s water and wastewater management services.
owwsct2459831	high	yes	Construction of Sewer Network for C3B Area – Seeb Catchment, Oman
owwsct2460879	high	yes	B7A-Bausher Network-Main Trunk Sewer &amp; Pumping Station, Oman
se19	high	no	A large-scale wastewater infrastructure project by United Gulf Construction Company, involving the construction, completion, operation and maintenance of a new sewage pumping station at Mishref with a design capacity of 340,000 m³/day. 
koc36081	high	no	This project involves the installation of new effluent-water transfer pipelines and the upgrading of tankage facilities in West Kuwait for Kuwait Oil Company, enabling enhanced conveyance of produced water and improved storage capacity in a major upstream waste-water infrastructure contract.
mew6085	high	yes	The MEW-6085-2024-2025 Project’s scope of work includes Construction of 9 Fresh Water Towers and Annexed Works at Mutlaa Residential City Site No
mew5773	high	yes	The MEW/5773-2022/2023 Project’s scope of work includes Maintenance of Street Lighting Equipment in the Capital Governorate in the State of Kuwait
zorepc0059	high	no	ZOR/EPC-0059 – General Civil Works Civil and Tank-C &amp; T at Al-Zour –NRP Package 4 ZOR/EPC-0059.A major civil-works contract undertaken by United Gulf Construction Company W.L.L. involving the full execution of civil works and tank foundations for Tanks C &amp; T as part of the Al-Zour New Refinery Project (NRP) Package 4 ZOR/EPC-0059
gc32	high	no	This project involves the civil works for the plot area of GC-32 Gathering Centre - a major upstream facility for oil and gas collection and processing in southeast Kuwait. The works include large-scale earthworks, structural groundwork, road and infrastructure installation required to prepare the site for the Gathering Centre’s full operations.
koc36081	medium	no	The project includes the complete detailed engineering design, procurement and supply of material, testing, shipping and construction, site inspection, pre-commissioning and commissioning of all the works described in the contract specifications.
